file,classes,approve_methods,reject,returns,delegate_,escalate,due_date,notifies,business_event
CrossBuy/BL/AttendanceService.cs,AttendanceService,,False,False,False,False,False,False,True
CrossBuy/BL/EmployeeRequestService.cs,EmployeeRequestService,,False,False,False,False,False,True,False
CrossBuy/BL/InventoryApprovalService.cs,InventoryApprovalService,RequiresApprovalAsync,True,False,False,False,False,True,False
CrossBuy/BL/LeaveDashboardService.cs,LeaveDashboardService,,True,True,False,False,False,False,False
CrossBuy/BL/LeaveWorkflowService.cs,LeaveWorkflowService,,False,False,False,False,False,True,False
CrossBuy/BL/PolicesService.cs,PolicesService,,True,False,False,False,False,False,False
CrossBuy/BL/PricingService.cs,PricingService,,False,True,False,False,False,False,False
CrossBuy/BL/ProcurementService.cs,ProcurementService,,False,False,False,False,False,True,False
CrossBuy/BL/ProgressBillingService.cs,ProgressBillingService,,False,False,False,False,False,False,False
CrossBuy/BL/SellingService.cs,SellingService,,True,False,False,False,False,True,False
CrossBuy/BL/SubcontractBillingService.cs,SubcontractBillingService,,False,False,False,False,False,False,False
CrossBuy/BL/VariationOrderService.cs,VariationOrderService,,False,False,False,False,False,False,False
CrossBuy/Controllers/AccountingController.cs,AccountingController,,False,True,False,False,True,False,False
CrossBuy/Controllers/AdminController.cs,AdminController,,False,False,False,False,False,True,True
CrossBuy/Controllers/Api/DevSeedController.cs,DevSeedController,InvTestApproval,True,True,False,False,True,True,True
CrossBuy/Controllers/Api/LeaveApiController.cs,LeaveApiController,,True,False,False,False,False,False,False
CrossBuy/Controllers/Api/MeApiController.cs,MeApiController,,True,False,False,False,False,False,False
CrossBuy/Controllers/ApprovalsController.cs,ApprovalsController,,False,False,False,False,False,False,False
CrossBuy/Controllers/InventoryController.cs,InventoryController,Approvals;ApproveDoc,True,True,False,False,False,False,False
CrossBuy/Controllers/PeopleController.cs,PeopleController,,False,False,False,False,False,False,False
CrossBuy/Controllers/ProjectController.cs,ProjectController,ApproveBilling;ApproveSubBilling;ApproveVariationOrder,False,False,False,False,False,False,False
